system:index,NDVI,year,.geo
0,0.22744445128121935,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.23000806389513556,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.21314072313195265,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.22358007491398835,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.21926584754872386,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.2312778503087252,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.23686557956801776,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.2285806058154979,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.23349086836101812,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.24028587159143155,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
